"FullSampleName" "RILcode" "TissueCode"
"1" "21148B0" 21148 "B"
"2" "21286B0" 21286 "B"
"3" "22162B0" 22162 "B"
"4" "21297B0" 21297 "B"
"5" "21029B0" 21029 "B"
"6" "22052B0" 22052 "B"
"7" "22031B0" 22031 "B"
"8" "21293B0" 21293 "B"
"9" "22378B0" 22378 "B"
"10" "22390B0" 22390 "B"
"93" "21148E0" 21148 "E"
"94" "21286E0" 21286 "E"
"95" "22162E0" 22162 "E"
"96" "21297E0" 21297 "E"
"97" "22123E0" 22123 "E"
"98" "21029E0" 21029 "E"
"99" "22052E0" 22052 "E"
"100" "22031E0" 22031 "E"
"101" "21293E0" 21293 "E"
"102" "22378E0" 22378 "E"
